study_id,title,first_author,venue,year,iot_domain,topology,agent_architecture,reasoning_strategy,cybersecurity_focus,benchmarks,critical_limitations,compound_failure_mode,reports_false_discovery_rate,coding_source
ref-106,CurriculumPT: LLM-Based Multi-Agent Autonomous Penetration Testing with Curriculum-Guided Task Scheduling,Wu,MDPI,2025,cross-cutting,,multi-agent,tool-use,vulnerability-discovery,,,,no,manuscript-explicit
ref-107,AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation,Srinivas,MDPI,2025,cross-cutting,,single-agent,,response,,,,,author-verified
ref-108,Toward Robust Security Orchestration and Automated Response in SOC with a Hyper-Automation Approach Using Agentic AI,Ismail; Kurnia,MDPI,2025,cross-cutting,,multi-agent,,response,,,,,manuscript-explicit
ref-109,Humans and Automation: Augmenting Security Operation Centers,Tilbury,MDPI,2024,cross-cutting,,non-agentic-baseline,none,,,,,,author-verified
ref-110,GPTs or Grim Position Threats? The Potential Impacts of LLMs on Non-Managerial Jobs and Certifications in Cybersecurity,Nowrozy,MDPI,2024,cross-cutting,,single-agent,,,,,,,author-verified
ref-111,Redefining Cyber Threat Intelligence with Artificial Intelligence: From Data Processing to Predictive Insights and Human--AI Collaboration,Barrios-González,MDPI,2026,cross-cutting,,non-agentic-baseline,none,threat-intelligence,,,,,author-verified
ref-112,Exploring the Role of Artificial Intelligence in Detecting Advanced Persistent Threats,Brandao,MDPI,2025,cross-cutting,,non-agentic-baseline,none,,,,,,author-verified
ref-113,Threat Intelligence Named Entity Recognition Based on Segment-Level Information Extraction and Similar Semantic Space Construction,Chen,MDPI,2025,cross-cutting,,non-agentic-baseline,none,threat-intelligence,,,,,author-verified
ref-114,Cyberattack Detection Systems in Industrial IoT Networks in Big Data Environments,Orman,MDPI,2025,industrial IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-115,Automatic Hybrid Access Control in SCADA-Enabled IIoT Networks Using Machine Learning,Usman,MDPI,2023,industrial IoT,,non-agentic-baseline,none,authentication,,,,,author-verified
ref-116,Security and Trust Management in the Internet of Vehicles (IoV): Challenges and Machine Learning Solutions,Alalwany,MDPI,2024,vehicular IoT,,non-agentic-baseline,none,,,,,,author-verified
ref-117,MT-FBERT: Malicious Traffic Detection Based on Efficient Federated Learning of BERT,Tang,MDPI,2025,cross-cutting,fog,single-agent,,detection,,,,,author-verified
ref-118,Explainable Malware Detection System Using Transformers-Based Transfer Learning and Multi-Model Visual Representation,Ullah,MDPI,2022,cross-cutting,,single-agent,,detection,,,,,author-verified
ref-119,Survey of Transformer-Based Malicious Software Detection Systems,Alshomrani,MDPI,2024,cross-cutting,,single-agent,,cross-cutting (survey),,,,,author-verified
ref-120,Federated RAG for Cybersecurity in Resource-Constrained IoT and Edge Environments: A Deployment-Oriented Scoping Review,He,MDPI,2026,general IoT,edge,non-agentic-baseline,none,cross-cutting (survey),,,,,author-verified
ref-121,Advancing Cyber Incident Timeline Analysis Through RAG and LLMs,Loumachi,MDPI,2025,cross-cutting,,single-agent,,,,,,,author-verified
ref-122,IoT Anomaly Detection to Strengthen Cybersecurity in the Critical Infrastructure of Smart Cities,Villegas-Ch,MDPI,2023,smart-city IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-123,A Review of Smart Grid Anomaly Detection Approaches Pertaining to Artificial Intelligence,Guato Burgos,MDPI,2024,smart-grid IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-124,Smart Grid Security: An Effective Hybrid CNN-Based Approach for Detecting Energy Theft Using Consumption Patterns,Gunduz,MDPI,2024,smart-grid IoT,,non-agentic-baseline,none,,,,,,author-verified
ref-125,AI-Driven Anomaly Detection for Securing IoT Devices in 5G-Enabled Smart Cities,Reis,MDPI,2025,network/5G-6G,,non-agentic-baseline,none,detection,,,,,author-verified
ref-126,An Adaptive Intrusion Detection System in the Internet of Medical Things Using Fuzzy-Based Learning,Alalhareth,MDPI,2023,medical IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-127,An Explainable AI Approach for Interpretable Cross-Layer Intrusion Detection in IoMT,Georgiades,MDPI,2025,medical IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-128,Explainable AI (XAI) for IDS and Mitigation in Intelligent Connected Vehicles: A Review,Nwakanma,MDPI,2023,vehicular IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-129,An IDS over IoT Data Streams Using Explainable AI (XAI),Alabbadi,MDPI,2025,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-130,Federated XAI IDS: An Explainable and Privacy-Preserving Approach to Detect Intrusion Combining Federated Learning and SHAP,Fatema,MDPI,2025,cross-cutting,fog,non-agentic-baseline,none,detection,,,,,author-verified
ref-131,Explainable AI for Forensic Analysis: A Comparative Study of SHAP and LIME in IDS Models,Hermosilla,MDPI,2025,cross-cutting,,non-agentic-baseline,none,detection,,,,,author-verified
ref-132,"Cross-Layer Security for 5G/6G Network Slices: An SDN, NFV, and AI-Based Hybrid Framework",Allaw,MDPI,2025,network/5G-6G,,non-agentic-baseline,none,,,,,,author-verified
ref-133,Redefining 6G Network Slicing: AI-Driven Solutions for Future Use Cases,Botez,MDPI,2025,network/5G-6G,,non-agentic-baseline,none,,,,,,author-verified
ref-134,"5G Network Slicing: Security Challenges, Attack Vectors, and Mitigation Approaches",Dias,MDPI,2025,network/5G-6G,,non-agentic-baseline,none,,,,,,author-verified
ref-135,Realistic Performance Assessment of ML Algorithms for 6G Network Slicing: A Dual-Methodology Approach with Explainable AI,Karahan,MDPI,2025,network/5G-6G,,non-agentic-baseline,none,,,,,,author-verified
ref-136,Emerging Authentication Technologies for Zero Trust on the Internet of Things,Bast,MDPI,2024,general IoT,,non-agentic-baseline,none,authentication,,,,,author-verified
ref-137,A Zero-Trust Architecture for Remote Access in Industrial IoT Infrastructures,Federici,MDPI,2023,industrial IoT,,non-agentic-baseline,none,,,,,,author-verified
ref-138,IoT Botnet Detection Approaches: Analysis and Recommendations for Future Research,Wazzan,MDPI,2021,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-139,Intelligent Detection of IoT Botnets Using Machine Learning and Deep Learning,Kim,MDPI,2020,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-140,LLMs in Cyber Security: Bridging Practice and Education,Atlam,MDPI,2025,cross-cutting,,single-agent,,,,,,,author-verified
ref-141,Exploring the Potential of Anomaly Detection Through Reasoning with Large Language Models,Park,MDPI,2025,cross-cutting,,single-agent,cot,threat-intelligence,,,,,manuscript-explicit
ref-142,LogRESP-Agent: A Recursive AI Framework for Context-Aware Log Anomaly Detection and TTP Analysis,Lee,MDPI,2025,cross-cutting,,multi-agent,,threat-hunting,,,tool-use-amplification,,manuscript-explicit
ref-143,Leveraging LLMs for Scalable and Explainable Cybersecurity Log Analysis,Palma,MDPI,2025,cross-cutting,,single-agent,,,,,,,author-verified
